*Product Category,*product Brand,*Product Unit,*Product Name,Purchases Price,Retail Price,Whole Price,Model,dont_have_this_property,Color ,dont_have_this_property,Serial No,dont_have_this_property,dont_have_this_property,dont_have_this_property,dont_have_this_property
Reticulation Item,Fishar,Pcs,Pick Tel,,,,Pick Tel,,,,,,,,
Reticulation Item,Fishar,Pcs,Regulator 64/35,,,,Regulator 64/35,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,1 HP Paddle Wheel Aerator 2 Wheel 4 Spline,,,,1 HP Paddle Wheel Aerator 2 Wheel 4 Spline,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Paddle Wheel Aerator 4 Wheel 4 Spline,,,,2 HP Paddle Wheel Aerator 4 Wheel 4 Spline,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Double, Model-1702",,,,"Burner, Double, Model-1702",,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Commercial, Model KB-10",,,,"Burner, Commercial, Model KB-10",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Regulator,,,,Regulator,,,,,,,,
Reticulation Item,Fishar,Pcs,Regulator R622-DFF,,,,Regulator R622-DFF,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Commercial, Model KB-5",,,,"Burner, Commercial, Model KB-5",,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,Large Size Feeder,,,,Large Size Feeder,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP RB-2 Blower,,,,2 HP RB-2 Blower,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Paddle Wheel Aerator 4 Wheel 9 Spline,,,,2 HP Paddle Wheel Aerator 4 Wheel 9 Spline,,,,,,,,
Reticulation Item,SCG,Pcs,Safety Relief Valve 110/250,,,,Safety Relief Valve 110/250,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Regulator, R 924",,,,"Regulator, R 924",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Commercial Ignition KB-5,,,,Commercial Ignition KB-5,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,Medium Size Feeder,,,,Medium Size Feeder,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP ABS Aerator,,,,2 HP ABS Aerator,,,,,,,,
Reticulation Item,Fishar,Pcs,FS-67CH-743,,,,FS-67CH-743,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Solar Paddle Wheel Aerator,,,,2 HP Solar Paddle Wheel Aerator,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,"2 HP Paddle Wheel Aerator 4 Wheel, 4 Spindle, 3Ph",,,,"2 HP Paddle Wheel Aerator 4 Wheel, 4 Spindle, 3Ph",,,,,,,,
LPG Equipment,Kosangas,Pcs,"Regulator, Brand- Kosangas, 20 mm",,,,"Regulator, Brand- Kosangas, 20 mm",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Double Gas Burner 1702 Classic,,,,Double Gas Burner 1702 Classic,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,Double Speed Aerator,,,,Double Speed Aerator,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Single, Model-1701",,,,"Burner, Single, Model-1701",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Commercial Burner KB - 3,,,,Commercial Burner KB - 3,,,,,,,,
LPG Equipment,Safe Gas,Pcs,Single Gas Burner 1701 Prime,,,,Single Gas Burner 1701 Prime,,,,,,,,
Reticulation Item,Sam Gas,Pcs,Gas Meter,,,,Gas Meter,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP VB-2 Blower,,,,2 HP VB-2 Blower,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Surge Aerator (SG - 2),,,,2 HP Surge Aerator (SG - 2),,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP High Frequency Aerator,,,,2 HP High Frequency Aerator,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Regulator, Brand- Kosngas, 22 mm",,,,"Regulator, Brand- Kosngas, 22 mm",,,,,,,,
