#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price,Brand
27,11,1,PID20090001,Reticulation Item, Pick Tel [ Fishar ]  [ Fishar ],7,900,,Fishar
28,11,2,PID20090002,Reticulation Item, Regulator 64/35 [ Fishar ]  [ Fishar ],114,11069.2,,Fishar
1,12,3,PID20090003,Fishing Equipment, 1 HP Paddle Wheel Aerator 2 Wheel 4 Spline [ Aqua Bangla ]  [ Aqua Bangla ],25,21717.5,,Aqua Bangla
4,12,4,PID20090004,Fishing Equipment, 2 HP Paddle Wheel Aerator 4 Wheel 4 Spline [ Aqua Bangla ]  [ Aqua Bangla ],20,26695.5,,Aqua Bangla
17,10,5,PID20090005,LPG Equipment," Burner, Double, Model-1702 [ Safe Gas ]  [ Safe Gas ]",42,2045.64,,Safe Gas
15,10,6,PID20090006,LPG Equipment," Burner, Commercial, Model KB-10 [ Safe Gas ]  [ Safe Gas ]",138,3862.36,,Safe Gas
22,10,7,PID20090007,LPG Equipment, Regulator [ Safe Gas ]  [ Safe Gas ],28347,165.25,,Safe Gas
29,11,8,PID20090008,Reticulation Item, Regulator R622-DFF [ Fishar ]  [ Fishar ],79,4326.66,,Fishar
16,10,9,PID20090009,LPG Equipment," Burner, Commercial, Model KB-5 [ Safe Gas ]  [ Safe Gas ]",1166,2129.4,,Safe Gas
12,12,10,PID20090010,Fishing Equipment, Large Size Feeder [ Aqua Bangla ]  [ Aqua Bangla ],2,16906,,Aqua Bangla
7,12,11,PID20090011,Fishing Equipment, 2 HP RB-2 Blower [ Aqua Bangla ]  [ Aqua Bangla ],1,58894,,Aqua Bangla
5,12,12,PID20090012,Fishing Equipment, 2 HP Paddle Wheel Aerator 4 Wheel 9 Spline [ Aqua Bangla ]  [ Aqua Bangla ],3,28175.8,,Aqua Bangla
31,11,13,PID20090013,Reticulation Item, Safety Relief Valve 110/250 [ SCG ]  [ SCG ],20,1644.5,,SCG
24,10,14,PID20090014,LPG Equipment," Regulator, R 924 [ Safe Gas ]  [ Safe Gas ]",906,491,,Safe Gas
20,10,15,PID20090015,LPG Equipment, Commercial Ignition KB-5 [ Safe Gas ]  [ Safe Gas ],528,892.47,,Safe Gas
13,12,16,PID20090016,Fishing Equipment, Medium Size Feeder [ Aqua Bangla ]  [ Aqua Bangla ],3,15082,,Aqua Bangla
2,12,17,PID20090017,Fishing Equipment, 2 HP ABS Aerator [ Aqua Bangla ]  [ Aqua Bangla ],2,34796,,Aqua Bangla
26,11,18,PID20090018,Reticulation Item, FS-67CH-743 [ Fishar ]  [ Fishar ],83,3525.36,,Fishar
8,12,19,PID20090019,Fishing Equipment, 2 HP Solar Paddle Wheel Aerator [ Aqua Bangla ]  [ Aqua Bangla ],1,114838,,Aqua Bangla
6,12,20,PID20090020,Fishing Equipment," 2 HP Paddle Wheel Aerator 4 Wheel, 4 Spindle, 3Ph [ Aqua Bangla ]  [ Aqua Bangla ]",2,26004,,Aqua Bangla
14,10,21,PID20090021,LPG Equipment," Regulator, Brand- Kosangas, 20 mm [ Kosangas ]  [ Kosangas ]",217,159.91,,Kosangas
21,10,22,PID20090022,LPG Equipment, Double Gas Burner 1702 Classic [ Safe Gas ]  [ Safe Gas ],409,1799.7,,Safe Gas
11,12,23,PID20090023,Fishing Equipment, Double Speed Aerator [ Aqua Bangla ]  [ Aqua Bangla ],1,33320,,Aqua Bangla
18,10,24,PID20090024,LPG Equipment," Burner, Single, Model-1701 [ Safe Gas ]  [ Safe Gas ]",32,1037.98,,Safe Gas
19,10,25,PID20090025,LPG Equipment, Commercial Burner KB - 3 [ Safe Gas ]  [ Safe Gas ],100,1702,,Safe Gas
25,10,26,PID20090026,LPG Equipment, Single Gas Burner 1701 Prime [ Safe Gas ]  [ Safe Gas ],31,904.02,,Safe Gas
30,11,27,PID20090027,Reticulation Item, Gas Meter [ Sam Gas ]  [ Sam Gas ],207,5696,,Sam Gas
10,12,28,PID20090028,Fishing Equipment, 2 HP VB-2 Blower [ Aqua Bangla ]  [ Aqua Bangla ],2,12726,,Aqua Bangla
9,12,29,PID20090029,Fishing Equipment, 2 HP Surge Aerator (SG - 2) [ Aqua Bangla ]  [ Aqua Bangla ],12,20727.8,,Aqua Bangla
3,12,30,PID20090030,Fishing Equipment, 2 HP High Frequency Aerator [ Aqua Bangla ]  [ Aqua Bangla ],2,26865,,Aqua Bangla
23,10,31,PID20090031,LPG Equipment," Regulator, Brand- Kosngas, 22 mm [ Safe Gas ]  [ Safe Gas ]",1388,160.85,,Safe Gas
