#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price,Brand
1,4,5,PID20050005,Motor Cycle,TVS 4V RD 160 BLACK     E.NO  :AE7KK2302969   Ch.NO  :PS637AE72L6B18920  [ TVS ],1,197400,,TVS
2,4,4,PID20050004,Motor Cycle,TVS 4V RD 160 BLACK     E.NO  :AE7KK2502770   Ch.NO  :PS637AE71L6B18925  [ TVS ],1,197400,,TVS
3,4,2,PID20050002,Motor Cycle,TVS 4V RD 160 BLUE/WHITE     E.NO  :AE7HK2401347   Ch.NO  :PS637AE75K6N14917  [ TVS ],1,197400,,TVS
4,4,1,PID20050001,Motor Cycle,TVS 4V RD 160 BLUE/WHITE     E.NO  :AE7HK2402913   Ch.NO  :PS637AE70K6N14467  [ TVS ],1,197400,,TVS
5,4,3,PID20050003,Motor Cycle,TVS 4V RD 160 RED     E.NO  :AE7AK25N2452   Ch.NO  :PS637AE73L6A18096  [ TVS ],1,197400,,TVS
6,4,7,PID20050007,Motor Cycle,TVS 4V SD 160 BLACK     E.NO  :AE7DK2102451   Ch.NO  :PS637AE77L6B18301  [ TVS ],1,179400,,TVS
7,4,6,PID20050006,Motor Cycle,TVS 4V SD 160 BLUE/WHITE     E.NO  :AE7FK2301283   Ch.NO  :PS637AE79K6H09566  [ TVS ],1,179400,,TVS
8,4,8,PID20050008,Motor Cycle,TVS 4V SD 160 RED     E.NO  :AE7AK24A5085   Ch.NO  :PS637AE74L6B18465  [ TVS ],1,179400,,TVS
9,4,60,PID20050060,Motor Cycle,TVS METRO ELS 100 BLACK/BLUE     E.NO  :DF5HK1500700   Ch.NO  :PS625MF58L6B13494  [ TVS ],1,89900,,TVS
10,4,61,PID20050061,Motor Cycle,TVS METRO ELS 100 BLACK/BLUE     E.NO  :DF5HK1900573   Ch.NO  :PS625MF51L6B13563  [ TVS ],1,89900,,TVS
11,4,59,PID20050059,Motor Cycle,TVS METRO ELS 100 BLACK/RED     E.NO  :DF5GK1402865   Ch.NO  :PS625MF55K6P11196  [ TVS ],1,89900,,TVS
12,4,62,PID20050062,Motor Cycle,TVS METRO ELS 100 BLACK/RED     E.NO  :DF5GK1500714   Ch.NO  :PS625MF53L6A12797  [ TVS ],1,89900,,TVS
13,4,63,PID20050063,Motor Cycle,TVS METRO ELS 100 BLACK/RED     E.NO  :DF5HK1000042   Ch.NO  :PS625MF59L6B13164  [ TVS ],1,89900,,TVS
14,4,46,PID20050046,Motor Cycle,TVS METRO PLUS 110 BLACK/BLUE     E.NO  :CF1EK1400840   Ch.NO  :PS625CF10K6K10451  [ TVS ],1,104900,,TVS
15,4,50,PID20050050,Motor Cycle,TVS METRO PLUS 110 BLACK/BLUE     E.NO  :CF1LK1102687   Ch.NO  :PS625CF14L6B17789  [ TVS ],1,104900,,TVS
16,4,49,PID20050049,Motor Cycle,TVS METRO PLUS 110 BLACK/BLUE     E.NO  :CF1LK1402761   Ch.NO  :PS625CF18L6B17732  [ TVS ],1,104900,,TVS
17,4,56,PID20050056,Motor Cycle,TVS METRO PLUS 110 BLACK/BLUE     E.NO  :CF1LK1602799   Ch.NO  :PS625CF1XL6B17652  [ TVS ],1,104900,,TVS
18,4,55,PID20050055,Motor Cycle,TVS METRO PLUS 110 BLACK/BLUE     E.NO  :CF1LK1902869   Ch.NO  :PS625CF1XL6B17697  [ TVS ],1,104900,,TVS
19,4,52,PID20050052,Motor Cycle,TVS METRO PLUS 110 BLACK/RED     E.NO  :CF1LK1001650   Ch.NO  :PS625CF12L6B17970  [ TVS ],1,104900,,TVS
20,4,57,PID20050057,Motor Cycle,TVS METRO PLUS 110 BLACK/RED     E.NO  :CF1LK1102977   Ch.NO  :PS625CF12L6B18374  [ TVS ],1,104900,,TVS
21,4,58,PID20050058,Motor Cycle,TVS METRO PLUS 110 BLACK/RED     E.NO  :CF1LK1103002   Ch.NO  :PS625CF17L6B18368  [ TVS ],1,104900,,TVS
22,4,51,PID20050051,Motor Cycle,TVS METRO PLUS 110 BLACK/RED     E.NO  :CF1LK1403551   Ch.NO  :PS625CF17L6B17365  [ TVS ],1,104900,,TVS
23,4,53,PID20050053,Motor Cycle,TVS METRO PLUS 110 BLACK/RED     E.NO  :CF1LK1601591   Ch.NO  :PS625CF18L6B17925  [ TVS ],1,104900,,TVS
24,4,54,PID20050054,Motor Cycle,TVS METRO PLUS 110 BLACK/RED     E.NO  :CF1LK1601843   Ch.NO  :PS625CF11L6B18074  [ TVS ],1,104900,,TVS
25,4,42,PID20050042,Motor Cycle,TVS METRO PLUS 110 DISC BLACK/RED     E.NO  :CF1KK1101707   Ch.NO  :PS625CF17L6A16469  [ TVS ],1,111900,,TVS
26,4,44,PID20050044,Motor Cycle,TVS METRO PLUS 110 DISC BLACK/RED     E.NO  :CF1KK1302596   Ch.NO  :PS625CF1XL6B16985  [ TVS ],1,111900,,TVS
27,4,41,PID20050041,Motor Cycle,TVS METRO PLUS 110 DISC BLACK/RED     E.NO  :CF1KK1501527   Ch.NO  :PS625CF12L6A16492  [ TVS ],1,111900,,TVS
28,4,43,PID20050043,Motor Cycle,TVS METRO PLUS 110 DISC BLACK/RED     E.NO  :CF1KK1701422   Ch.NO  :PS625CF11L6A16662  [ TVS ],1,111900,,TVS
29,4,47,PID20050047,Motor Cycle,TVS METRO PLUS 110 RED/BLACK     E.NO  :CF1FK1200788   Ch.NO  :PS625CF16K6K09952  [ TVS ],1,104900,,TVS
30,4,45,PID20050045,Motor Cycle,TVS METRO PLUS 110 RED/BLACK     E.NO  :CF1FK1301471   Ch.NO  :PS625CF16K6H06406  [ TVS ],1,104900,,TVS
31,4,48,PID20050048,Motor Cycle,TVS METRO PLUS 110 RED/BLACK     E.NO  :CF1KJ1413821   Ch.NO  :MD625CF12J1K76275  [ TVS ],1,104900,,TVS
32,4,10,PID20050010,Motor Cycle,TVS RTR RD 160 MATTE BLUE     E.NO  :0E4KK2301022   Ch.NO  :PS634KE49L6B16375  [ TVS ],1,174900,,TVS
33,4,9,PID20050009,Motor Cycle,TVS RTR RD 160 MATTE BLUE     E.NO  :0E4KK2800996   Ch.NO  :PS634KE41L6B16368  [ TVS ],1,174900,,TVS
34,4,16,PID20050016,Motor Cycle,TVS RTR SD 160 GRAY     E.NO  :0E4NK2X02568   Ch.NO  :PS634KE46L6B15840  [ TVS ],1,167900,,TVS
35,4,11,PID20050011,Motor Cycle,TVS RTR SD 160 MATTE BLUE     E.NO  :0E4EK2303317   Ch.NO  :PS634KE47L6A14623  [ TVS ],1,167900,,TVS
36,4,21,PID20050021,Motor Cycle,TVS RTR SD 160 MATTE BLUE     E.NO  :0E4KK2900655   Ch.NO  :PS634KE40L6B16197  [ TVS ],1,167900,,TVS
37,4,15,PID20050015,Motor Cycle,TVS RTR SD 160 MATTE RED     E.NO  :0E4EJ2717706   Ch.NO  :PS634KE48K6H10292  [ TVS ],1,167900,,TVS
38,4,14,PID20050014,Motor Cycle,TVS RTR SD 160 SHINE BLACK     E.NO  :0E4KK2501550   Ch.NO  :PS634KE41L6A14813  [ TVS ],1,167900,,TVS
39,4,13,PID20050013,Motor Cycle,TVS RTR SD 160 SHINE BLACK     E.NO  :0E4KK2701494   Ch.NO  :PS634KE4XL6A14776  [ TVS ],1,167900,,TVS
40,4,12,PID20050012,Motor Cycle,TVS RTR SD 160 SHINE BLACK     E.NO  :0E4KK2X01579   Ch.NO  :PS634KE40L6A14883  [ TVS ],1,167900,,TVS
41,4,20,PID20050020,Motor Cycle,TVS RTR SD 160 SHINE RED     E.NO  :0E4FJ2021650   Ch.NO  :PS634KE47L6B15586  [ TVS ],1,167900,,TVS
42,4,17,PID20050017,Motor Cycle,TVS RTR SD 160 SHINE RED     E.NO  :0E4FJ2121765   Ch.NO  :PS634KE4XL6B15744  [ TVS ],1,167900,,TVS
43,4,19,PID20050019,Motor Cycle,TVS RTR SD 160 SHINE RED     E.NO  :0E4FJ2321754   Ch.NO  :PS634KE49L6B15637  [ TVS ],1,167900,,TVS
44,4,18,PID20050018,Motor Cycle,TVS RTR SD 160 SHINE RED     E.NO  :0E4FJ2921909   Ch.NO  :PS634KE46L6B15739  [ TVS ],1,167900,,TVS
45,4,24,PID20050024,Motor Cycle,TVS STRYKER 125 BLACK/BLUE     E.NO  :FF4CK1201102   Ch.NO  :PS625BF47K6H10498  [ TVS ],1,118400,,TVS
46,4,27,PID20050027,Motor Cycle,TVS STRYKER 125 BLACK/BLUE     E.NO  :FF4FK1X00279   Ch.NO  :PS625BF42K6K11833  [ TVS ],1,118400,,TVS
47,4,35,PID20050035,Motor Cycle,TVS STRYKER 125 BLACK/GREEN     E.NO  :FF4HK1300376   Ch.NO  :PS625BF42K6N14109  [ TVS ],1,118400,,TVS
48,4,38,PID20050038,Motor Cycle,TVS STRYKER 125 BLACK/GREY     E.NO  :FF4LK1101786   Ch.NO  :PS625BF42L6B18248  [ TVS ],1,118400,,TVS
49,4,37,PID20050037,Motor Cycle,TVS STRYKER 125 BLACK/GREY     E.NO  :FF4LK1201912   Ch.NO  :PS625BF48L6B18318  [ TVS ],1,118400,,TVS
50,4,40,PID20050040,Motor Cycle,TVS STRYKER 125 BLACK/GREY     E.NO  :FF4LK1301605   Ch.NO  :PS625BF43L6B18064  [ TVS ],1,118400,,TVS
51,4,39,PID20050039,Motor Cycle,TVS STRYKER 125 BLACK/GREY     E.NO  :FF4LK1601943   Ch.NO  :PS625BF43L6B18470  [ TVS ],1,118400,,TVS
52,4,22,PID20050022,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4DK1900452   Ch.NO  :PS625BF40K6H08866  [ TVS ],1,118400,,TVS
53,4,23,PID20050023,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4DK1X00469   Ch.NO  :PS625BF41K6H08844  [ TVS ],1,118400,,TVS
54,4,34,PID20050034,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1201176   Ch.NO  :PS625BF41K6D03180  [ TVS ],1,118400,,TVS
55,4,30,PID20050030,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1301374   Ch.NO  :PS625BF41K6D03213  [ TVS ],1,118400,,TVS
56,4,26,PID20050026,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1600767   Ch.NO  :PS625BF47K6K12296  [ TVS ],1,118400,,TVS
57,4,29,PID20050029,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1601308   Ch.NO  :PS625BF48K6D03256  [ TVS ],1,118400,,TVS
58,4,25,PID20050025,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1700848   Ch.NO  :PS625BF41K6K12262  [ TVS ],1,118400,,TVS
59,4,36,PID20050036,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1701201   Ch.NO  :PS625BF47K6E03347  [ TVS ],1,118400,,TVS
60,4,31,PID20050031,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1701348   Ch.NO  :PS625BF44K6D03240  [ TVS ],1,118400,,TVS
61,4,28,PID20050028,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1801007   Ch.NO  :PS625BF46K6D03191  [ TVS ],1,118400,,TVS
62,4,33,PID20050033,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4EK1X01396   Ch.NO  :PS625BF4XK6D03131  [ TVS ],1,118400,,TVS
63,4,32,PID20050032,Motor Cycle,TVS STRYKER 125 BLACK/RED     E.NO  :FF4FK1401712   Ch.NO  :PS625BF45K6K11888  [ TVS ],1,118400,,TVS
64,4,69,PID20050069,Motor Cycle,TVS XL100 ES PURPLE     E.NO  :CP1DK1923757   Ch.NO  :MD621EP12K1D00861  [ TVS ],1,66900,,TVS
65,4,68,PID20050068,Motor Cycle,TVS XL100 ES PURPLE     E.NO  :CP1EK1203750   Ch.NO  :MD621EP18K1E00267  [ TVS ],1,66900,,TVS
66,4,67,PID20050067,Motor Cycle,TVS XL100 ES RED     E.NO  :CP1DK1823891   Ch.NO  :MD621EP19K1D00808  [ TVS ],1,66900,,TVS
67,4,66,PID20050066,Motor Cycle,TVS XL100 ES RED     E.NO  :CP1DK1X23838   Ch.NO  :MD621EP18K1D00654  [ TVS ],1,66900,,TVS
68,4,65,PID20050065,Motor Cycle,TVS XL100 KS GRAY     E.NO  :0P1DJ1103410   Ch.NO  :MD621CP1XJ1D04188  [ TVS ],1,56900,,TVS
69,4,64,PID20050064,Motor Cycle,TVS XL100 KS GRAY     E.NO  :0P1DJ1503799   Ch.NO  :MD621CP13J1D04453  [ TVS ],1,56900,,TVS
